Effect						
)						
	(1)	(2)	(3)	(4)	(5)	(6)
_IMomXyea_1_1964			0.65	0.65		
			[0.418]	[0.418]		
_IMomXyea_1_1965			1.12**	1.12**		
			[0.439]	[0.440]		
_IMomXyea_1_1966			0.86***	0.86***		
			[0.301]	[0.301]		
_IMomXyea_1_1967			0.35	0.35		
			[0.479]	[0.479]		
_IMomXyea_1_1968			1.74	1.74		
			[1.309]	[1.309]		
_IMomXyea_1_1969			1.34	1.34		
			[1.187]	[1.187]		
_IMomXyea_1_1970			0.38	0.59		
			[0.526]	[0.637]		
_IMomXyea_1_1971			0.82	1.03*		
			[0.500]	[0.604]		
_IMomXyea_1_1972			1.06**	1.27**		
			[0.521]	[0.565]		
_IMomXyea_1_1973			0.19	0.40		
			[0.451]	[0.459]		
_IMomXyea_1_1974			-0.40	-0.18		
			[0.663]	[0.655]		
_IMomXyea_1_1975			-0.54	-0.33		
			[0.471]	[0.552]		
_IMomXyea_1_1976			-0.93*	-0.72		
			[0.532]	[0.527]		
_IMomXyea_1_1977			-1.51**	-1.29**		
			[0.649]	[0.638]		
_IMomXyea_1_1978			-1.91**	-1.70**		
			[0.804]	[0.763]		
_IMomXyea_1_1979			-2.15	-2.16		
			[1.383]	[1.318]		
_IMomXyea_1_1980			-1.07	-1.08		
			[1.440]	[1.368]		
_IMomXyea_1_1981			-1.97	-1.98*		
			[1.218]	[1.155]		
_IMomXyea_1_1982			-0.54	-0.56		
			[0.977]	[0.884]		
_IMomXyea_1_1983			-0.44	-0.45		
			[0.927]	[0.847]		
_IMomXyea_1_1984			-0.23	-0.25		
			[0.765]	[0.693]		
_IMomXyea_1_1985			-0.15	-0.16		
			[0.796]	[0.727]		
_IMomXyea_1_1986			-0.12	-0.13		
			[0.941]	[0.869]		
_IMomXyea_1_1987			-1.01	-1.03		
			[0.679]	[0.656]		
_IMomXyea_1_1988			-0.76	-0.78		
			[0.640]	[0.602]		
_IMomXyea_1_1989			-0.09	-0.11		
			[0.840]	[0.844]		
_IMomXyea_1_1990			1.61	1.60		
			[1.182]	[1.182]		
_IMomXyea_1_1991			2.09	2.08		
			[1.366]	[1.355]		
_IMomXyea_1_1992			1.07	1.05		
			[0.830]	[0.808]		
_IMomXyea_1_1993			1.11	1.33		
			[1.024]	[1.049]		
_IMomXyea_1_1994			0.74	0.96		
			[1.068]	[1.133]		
_IMomXyea_1_1995			1.22	1.43		
			[1.193]	[1.293]		
_IMomXyea_1_1996			0.31	0.53		
			[1.155]	[1.217]		
_IMomXyea_1_1997			-0.44	-0.23		
			[0.714]	[0.747]		
_IMomXyea_1_1998			0.43	0.64		
			[1.312]	[1.343]		
_IMomXyea_1_1999			1.95	2.17		
			[2.421]	[2.438]		
_IMomXyea_1_2000			0.38	0.59		
			[3.664]	[3.652]		
_IMomXyea_1_2001			2.71	2.93		
			[3.054]	[3.069]		
_IMomXyea_1_2002			0.67	0.88		
			[1.467]	[1.490]		
_IMomXyea_1_2003			0.07	0.07		
			[1.527]	[1.528]		
_IMomXyea_1_2004			-0.43	-0.43		
			[2.238]	[2.239]		
_IMomXyea_1_2005			2.25	2.25		
			[1.717]	[1.718]		
_IMomXyea_1_2006			-0.12	-0.12		
			[0.801]	[0.801]		
_IMomXyea_1_2007			2.62	2.62		
			[1.855]	[1.856]		
_IMomXyea_1_2008			0.78	0.78		
			[0.940]	[0.940]		
_IMomXyea_1_2009			-0.21	-0.21		
			[0.536]	[0.536]		
_IMomXyea_1_2010			-0.31	-0.31		
			[0.489]	[0.489]		
_IMomXyea_1_2011			-0.11	-0.11		
			[0.658]	[0.659]		
o._Iborder_1			-	-		
						
o._Iyear_1964			-	-		
						
o._Iyear_1965			-	-		
						
o._Iyear_1966			-	-		
						
o._Iyear_1968			-	-		
						
o._Iyear_1970			-	-		
						
o._Iyear_1971			-	-		
						
o._Iyear_1973			-	-		
						
o._Iyear_1975			-	-		
						
o._Iyear_1976			-	-		
						
o._Iyear_1980			-	-		
						
o._Iyear_1981			-	-		
						
o._Iyear_1982			-	-		
						
o._Iyear_1983			-	-		
						
o._Iyear_1987			-	-		
						
o._Iyear_1989			-	-		
						
o._Iyear_1990			-	-		
						
o._Iyear_1991			-	-		
						
o._Iyear_1993			-	-		
						
o._Iyear_1994			-	-		
						
o._Iyear_1996			-	-		
						
o._Iyear_1999			-	-		
						
o._Iyear_2000			-	-		
						
o._Iyear_2004			-	-		
						
o._Iyear_2005			-	-		
						
o._Iyear_2006			-	-		
						
_IborXyea_1_1964			0.14	0.14		
			[0.303]	[0.303]		
_IborXyea_1_1965			0.43	0.43		
			[0.375]	[0.375]		
_IborXyea_1_1966			0.09	0.09		
			[0.363]	[0.363]		
_IborXyea_1_1967			-0.12	-0.12		
			[0.485]	[0.485]		
_IborXyea_1_1968			1.21	1.21		
			[1.486]	[1.487]		
_IborXyea_1_1969			0.68	0.68		
			[1.394]	[1.394]		
_IborXyea_1_1970			0.41	0.62		
			[0.476]	[0.604]		
_IborXyea_1_1971			0.06	0.27		
			[0.589]	[0.676]		
_IborXyea_1_1972			-0.27	-0.06		
			[0.551]	[0.614]		
_IborXyea_1_1973			-0.56	-0.35		
			[0.474]	[0.565]		
_IborXyea_1_1974			-0.60	-0.39		
			[0.502]	[0.617]		
_IborXyea_1_1975			-0.06	0.15		
			[0.389]	[0.458]		
_IborXyea_1_1976			0.11	0.32		
			[0.632]	[0.581]		
_IborXyea_1_1977			0.53	0.74		
			[0.780]	[0.729]		
_IborXyea_1_1978			1.65	1.85		
			[1.267]	[1.214]		
_IborXyea_1_1979			1.41	1.74		
			[1.480]	[1.439]		
_IborXyea_1_1980			0.60	0.93		
			[1.283]	[1.196]		
_IborXyea_1_1981			1.65	1.98*		
			[1.216]	[1.164]		
_IborXyea_1_1982			0.02	0.35		
			[0.953]	[0.926]		
_IborXyea_1_1983			0.43	0.76		
			[1.071]	[1.000]		
_IborXyea_1_1984			-0.07	0.25		
			[0.669]	[0.589]		
_IborXyea_1_1985			0.14	0.47		
			[0.907]	[0.844]		
_IborXyea_1_1986			0.05	0.38		
			[1.103]	[1.004]		
_IborXyea_1_1987			-0.10	0.23		
			[1.257]	[1.195]		
_IborXyea_1_1988			0.54	0.87		
			[1.114]	[1.060]		
_IborXyea_1_1989			0.87	1.20		
			[1.291]	[1.314]		
_IborXyea_1_1990			0.56	0.89		
			[1.146]	[1.221]		
_IborXyea_1_1991			-0.90	-0.57		
			[1.411]	[1.491]		
_IborXyea_1_1992			-0.17	0.16		
			[1.001]	[1.053]		
_IborXyea_1_1993			0.21	0.09		
			[1.039]	[1.034]		
_IborXyea_1_1994			-0.03	-0.15		
			[1.192]	[1.238]		
_IborXyea_1_1995			0.58	0.46		
			[1.196]	[1.247]		
_IborXyea_1_1996			0.43	0.31		
			[1.208]	[1.254]		
_IborXyea_1_1997			1.44	1.32		
			[1.039]	[1.053]		
_IborXyea_1_1998			0.01	-0.10		
			[1.427]	[1.461]		
_IborXyea_1_1999			2.22	2.11		
			[2.442]	[2.435]		
_IborXyea_1_2000			0.93	0.82		
			[3.660]	[3.649]		
_IborXyea_1_2001			2.47	2.35		
			[2.812]	[2.783]		
_IborXyea_1_2002			0.91	0.80		
			[1.504]	[1.511]		
_IborXyea_1_2003			0.23	0.23		
			[1.556]	[1.556]		
_IborXyea_1_2004			-0.40	-0.40		
			[2.413]	[2.414]		
_IborXyea_1_2005			0.76	0.76		
			[1.618]	[1.619]		
_IborXyea_1_2006			-0.52	-0.52		
			[0.616]	[0.616]		
_IborXyea_1_2007			1.61	1.61		
			[1.802]	[1.803]		
_IborXyea_1_2008			1.27	1.27		
			[0.981]	[0.981]		
_IborXyea_1_2009			0.44	0.44		
			[0.538]	[0.539]		
_IborXyea_1_2010			0.36	0.36		
			[0.452]	[0.452]		
_IborXyea_1_2011			0.25	0.25		
			[0.775]	[0.775]		
o.dist2nairobi			-	-		
						
_IyeaXdis_1964			0.00	0.00		
			[0.001]	[0.001]		
_IyeaXdis_1965			-0.00	-0.00		
			[0.001]	[0.001]		
_IyeaXdis_1966			-0.00	-0.00		
			[0.001]	[0.001]		
_IyeaXdis_1967			-0.00**	-0.00**		
			[0.001]	[0.001]		
_IyeaXdis_1968			-0.01	-0.01		
			[0.007]	[0.007]		
_IyeaXdis_1969			-0.01	-0.01		
			[0.006]	[0.006]		
_IyeaXdis_1970			-0.00**	-0.00		
			[0.002]	[0.002]		
_IyeaXdis_1971			-0.01**	-0.00		
			[0.002]	[0.003]		
_IyeaXdis_1972			-0.01***	-0.00		
			[0.002]	[0.002]		
_IyeaXdis_1973			-0.00*	0.00		
			[0.001]	[0.002]		
_IyeaXdis_1974			-0.00	-0.00		
			[0.003]	[0.003]		
_IyeaXdis_1975			-0.00*	0.00		
			[0.001]	[0.002]		
_IyeaXdis_1976			-0.00**	-0.00		
			[0.002]	[0.002]		
_IyeaXdis_1977			-0.01**	-0.00		
			[0.003]	[0.003]		
_IyeaXdis_1978			-0.01	-0.00		
			[0.003]	[0.003]		
_IyeaXdis_1979			-0.01	-0.01		
			[0.006]	[0.006]		
_IyeaXdis_1980			-0.01	-0.01		
			[0.004]	[0.004]		
_IyeaXdis_1981			-0.01	-0.00		
			[0.004]	[0.004]		
_IyeaXdis_1982			-0.00	-0.00		
			[0.003]	[0.003]		
_IyeaXdis_1983			-0.00	-0.00		
			[0.003]	[0.003]		
_IyeaXdis_1984			-0.00*	-0.00		
			[0.002]	[0.002]		
_IyeaXdis_1985			-0.01**	-0.00*		
			[0.003]	[0.003]		
_IyeaXdis_1986			-0.01**	-0.01*		
			[0.003]	[0.003]		
_IyeaXdis_1987			-0.00*	-0.00		
			[0.002]	[0.003]		
_IyeaXdis_1988			-0.01**	-0.01**		
			[0.002]	[0.002]		
_IyeaXdis_1989			-0.01**	-0.01**		
			[0.004]	[0.004]		
_IyeaXdis_1990			-0.01**	-0.01**		
			[0.005]	[0.006]		
_IyeaXdis_1991			-0.01***	-0.01**		
			[0.004]	[0.004]		
_IyeaXdis_1992			-0.01***	-0.01**		
			[0.003]	[0.003]		
_IyeaXdis_1993			-0.01**	-0.01**		
			[0.004]	[0.004]		
_IyeaXdis_1994			-0.01**	-0.01*		
			[0.003]	[0.003]		
_IyeaXdis_1995			-0.01**	-0.01*		
			[0.003]	[0.003]		
_IyeaXdis_1996			-0.01**	-0.01*		
			[0.003]	[0.004]		
_IyeaXdis_1997			-0.01**	-0.01**		
			[0.004]	[0.004]		
_IyeaXdis_1998			-0.01**	-0.01*		
			[0.004]	[0.004]		
_IyeaXdis_1999			-0.01	-0.01		
			[0.007]	[0.007]		
_IyeaXdis_2000			0.00	0.00		
			[0.013]	[0.014]		
_IyeaXdis_2001			-0.01	-0.01		
			[0.007]	[0.007]		
_IyeaXdis_2002			-0.01	-0.01		
			[0.007]	[0.007]		
_IyeaXdis_2003			-0.00	-0.00		
			[0.008]	[0.008]		
_IyeaXdis_2004			-0.00	-0.00		
			[0.013]	[0.013]		
_IyeaXdis_2005			-0.01	-0.01		
			[0.009]	[0.009]		
_IyeaXdis_2006			-0.01**	-0.01**		
			[0.003]	[0.003]		
_IyeaXdis_2007			-0.02	-0.02		
			[0.011]	[0.011]		
_IyeaXdis_2008			-0.01*	-0.01*		
			[0.005]	[0.005]		
_IyeaXdis_2009			-0.01**	-0.01**		
			[0.003]	[0.003]		
_IyeaXdis_2010			-0.00**	-0.00**		
			[0.002]	[0.002]		
_IyeaXdis_2011			-0.01	-0.01		
			[0.004]	[0.004]		
o._Iyear_1967			-	-		
						
o._Iyear_1969			-	-		
						
o._Iyear_1972			-	-		
						
o._Iyear_1974			-	-		
						
o._Iyear_1977			-	-		
						
o._Iyear_1978			-	-		
						
o._Iyear_1979			-	-		
						
o._Iyear_1984			-	-		
						
o._Iyear_1985			-	-		
						
o._Iyear_1986			-	-		
						
o._Iyear_1988			-	-		
						
o._Iyear_1992		-	-	-		-
						
o._Iyear_1995			-	-		
						
o._Iyear_1997			-	-		
						
o._Iyear_1998			-	-		
						
o._Iyear_2001			-	-		
						
o._Iyear_2002			-	-		
						
o._Iyear_2003			-	-		
						
o._Iyear_2007			-	-		
						
o._Iyear_2008			-	-		
						
o._Iyear_2009			-	-		
						
o._Iyear_2010			-	-		
						
o._Iyear_2011	-	-	-	-	-	-
						
						
presidentMP		-1.32**		-1.81		-1.26**
		[0.623]		[1.091]		[0.497]
multiparty		-0.02		-2.49		-0.02
		[0.451]		[1.598]		[0.445]
pop1962_t	-0.00*	-0.00*			-0.00*	-0.00*
	[0.000]	[0.000]			[0.000]	[0.000]
area_t	-0.00	-0.00			-0.00	-0.00
	[0.000]	[0.000]			[0.000]	[0.000]
urbrate1962_t	0.00	0.00			0.00	0.00
	[0.001]	[0.001]			[0.001]	[0.001]
earnings_t	-0.00	-0.00			-0.00	-0.00
	[0.002]	[0.002]			[0.002]	[0.002]
wage_employment_t	-0.00	-0.00			0.00	-0.00
	[0.000]	[0.000]			[0.001]	[0.001]
value_cashcrops_t	-0.00	0.00			0.00	0.00
	[0.000]	[0.000]			[0.000]	[0.000]
year	0.06**	0.07***			0.08**	0.07**
	[0.024]	[0.024]			[0.031]	[0.031]
_IMomXyear_1	0.01	0.01			0.01	0.01
	[0.019]	[0.018]			[0.019]	[0.019]
_IborXyear_1	0.01	0.01			0.01	0.01
	[0.020]	[0.019]			[0.020]	[0.020]
dist2nairobi_t	-0.00	-0.00			-0.00	-0.00
	[0.000]	[0.000]			[0.000]	[0.000]
president_yrs					-0.05	-0.01
					[0.071]	[0.064]
						
Observations	2,009	2,009	2,009	2,009	2,009	2,009
Adjusted R-squared	0.112	0.119	0.012	0.022	0.114	0.119
Robust standard errors clustered at the district level in parentheses						
* significant at 10%; ** significant at 5%; *** significant at 1%						
